Id,group,Collection,
./bam_bais/ngm_dtas_rg_23442Pal_N6_S115.bam,Fort Bragg,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_N6_S115.bam
./bam_bais/ngm_dtas_rg_23442Pal_N7_S116.bam,Fort Bragg,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_N7_S116.bam
./bam_bais/ngm_dtas_rg_23442Pal_N8_S117.bam,Fort Bragg,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_N8_S117.bam
./bam_bais/ngm_dtas_rg_23442Pal_N9_S118.bam,Fort Bragg,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_N9_S118.bam
./bam_bais/ngm_dtas_rg_23442Pal_S10_S129.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S10_S129.bam
./bam_bais/ngm_dtas_rg_23442Pal_S11_S130.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S11_S130.bam
./bam_bais/ngm_dtas_rg_23442Pal_S12_S131.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S12_S131.bam
./bam_bais/ngm_dtas_rg_23442Pal_S13_S132.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S13_S132.bam
./bam_bais/ngm_dtas_rg_23442Pal_S14_S133.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S14_S133.bam
./bam_bais/ngm_dtas_rg_23442Pal_S15_S134.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S15_S134.bam
./bam_bais/ngm_dtas_rg_23442Pal_S1_S120.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S1_S120.bam
./bam_bais/ngm_dtas_rg_23442Pal_S2_S121.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S2_S121.bam
./bam_bais/ngm_dtas_rg_23442Pal_S3_S122.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S3_S122.bam
./bam_bais/ngm_dtas_rg_23442Pal_S4_S123.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S4_S123.bam
./bam_bais/ngm_dtas_rg_23442Pal_S5_S124.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S5_S124.bam
./bam_bais/ngm_dtas_rg_23442Pal_S6_S125.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S6_S125.bam
./bam_bais/ngm_dtas_rg_23442Pal_S7_S126.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S7_S126.bam
./bam_bais/ngm_dtas_rg_23442Pal_S8_S127.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S8_S127.bam
./bam_bais/ngm_dtas_rg_23442Pal_S9_S128.bam,Santa Barbara,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_S9_S128.bam
./bam_bais/ngm_dtas_rg_23442Pal_SB-11_S20.bam,Santa Barbara,New,./bam_bais/ngm_dtas_rg_23442Pal_SB-11_S20.bam
./bam_bais/ngm_dtas_rg_23442Pal_SB-12_S21.bam,Santa Barbara,New,./bam_bais/ngm_dtas_rg_23442Pal_SB-12_S21.bam
./bam_bais/ngm_dtas_rg_23442Pal_SB-1_S11.bam,Santa Barbara,New,./bam_bais/ngm_dtas_rg_23442Pal_SB-1_S11.bam
./bam_bais/ngm_dtas_rg_23442Pal_SB-3_S13.bam,Santa Barbara,New,./bam_bais/ngm_dtas_rg_23442Pal_SB-3_S13.bam
./bam_bais/ngm_dtas_rg_23442Pal_SB-7_S16.bam,Santa Barbara,New,./bam_bais/ngm_dtas_rg_23442Pal_SB-7_S16.bam
./bam_bais/ngm_dtas_rg_23442Pal_SB-9_S18.bam,Santa Barbara,New,./bam_bais/ngm_dtas_rg_23442Pal_SB-9_S18.bam
./bam_bais/ngm_dtas_rg_23442Pal_T1_S182.bam,Fort Bragg,Historic,./bam_bais/ngm_dtas_rg_23442Pal_T1_S182.bam
./bam_bais/ngm_dtas_rg_23442Pal_T2_S184.bam,Fort Bragg,Historic,./bam_bais/ngm_dtas_rg_23442Pal_T2_S184.bam
./bam_bais/ngm_dtas_rg_23442Pal_T3_S185.bam,Fort Bragg,Historic,./bam_bais/ngm_dtas_rg_23442Pal_T3_S185.bam
./bam_bais/ngm_dtas_rg_23442Pal_U10_S106.bam,Ucluelet,New,./bam_bais/ngm_dtas_rg_23442Pal_U10_S106.bam
./bam_bais/ngm_dtas_rg_23442Pal_U11_S107.bam,Ucluelet,New,./bam_bais/ngm_dtas_rg_23442Pal_U11_S107.bam
./bam_bais/ngm_dtas_rg_23442Pal_U1_S97.bam,Ucluelet,New,./bam_bais/ngm_dtas_rg_23442Pal_U1_S97.bam
./bam_bais/ngm_dtas_rg_23442Pal_U2_S98.bam,Ucluelet,New,./bam_bais/ngm_dtas_rg_23442Pal_U2_S98.bam
./bam_bais/ngm_dtas_rg_23442Pal_U3_S99.bam,Ucluelet,New,./bam_bais/ngm_dtas_rg_23442Pal_U3_S99.bam
./bam_bais/ngm_dtas_rg_23442Pal_U4_S100.bam,Ucluelet,New,./bam_bais/ngm_dtas_rg_23442Pal_U4_S100.bam
./bam_bais/ngm_dtas_rg_23442Pal_U5_S101.bam,Ucluelet,New,./bam_bais/ngm_dtas_rg_23442Pal_U5_S101.bam
./bam_bais/ngm_dtas_rg_23442Pal_U6_S102.bam,Ucluelet,New,./bam_bais/ngm_dtas_rg_23442Pal_U6_S102.bam
./bam_bais/ngm_dtas_rg_23442Pal_U7_S103.bam,Ucluelet,New,./bam_bais/ngm_dtas_rg_23442Pal_U7_S103.bam
./bam_bais/ngm_dtas_rg_23442Pal_U8_S104.bam,Ucluelet,New,./bam_bais/ngm_dtas_rg_23442Pal_U8_S104.bam
./bam_bais/ngm_dtas_rg_23442Pal_U9_S105.bam,Ucluelet,New,./bam_bais/ngm_dtas_rg_23442Pal_U9_S105.bam
./bam_bais/ngm_dtas_rg_23442Pal_W10_S179.bam,Winter Harbor,Historic,./bam_bais/ngm_dtas_rg_23442Pal_W10_S179.bam
./bam_bais/ngm_dtas_rg_23442Pal_W11_S180.bam,Winter Harbor,Historic,./bam_bais/ngm_dtas_rg_23442Pal_W11_S180.bam
./bam_bais/ngm_dtas_rg_23442Pal_W12_S181.bam,Winter Harbor,Historic,./bam_bais/ngm_dtas_rg_23442Pal_W12_S181.bam
./bam_bais/ngm_dtas_rg_23442Pal_W1_S170.bam,Winter Harbor,Historic,./bam_bais/ngm_dtas_rg_23442Pal_W1_S170.bam
./bam_bais/ngm_dtas_rg_23442Pal_W2_S171.bam,Winter Harbor,Historic,./bam_bais/ngm_dtas_rg_23442Pal_W2_S171.bam
./bam_bais/ngm_dtas_rg_23442Pal_W3_S172.bam,Winter Harbor,Historic,./bam_bais/ngm_dtas_rg_23442Pal_W3_S172.bam
./bam_bais/ngm_dtas_rg_23442Pal_W4_S173.bam,Winter Harbor,Historic,./bam_bais/ngm_dtas_rg_23442Pal_W4_S173.bam
./bam_bais/ngm_dtas_rg_23442Pal_W5_S174.bam,Winter Harbor,Historic,./bam_bais/ngm_dtas_rg_23442Pal_W5_S174.bam
./bam_bais/ngm_dtas_rg_23442Pal_W6_S175.bam,Winter Harbor,Historic,./bam_bais/ngm_dtas_rg_23442Pal_W6_S175.bam
./bam_bais/ngm_dtas_rg_23442Pal_W7_S176.bam,Winter Harbor,Historic,./bam_bais/ngm_dtas_rg_23442Pal_W7_S176.bam
./bam_bais/ngm_dtas_rg_23442Pal_W8_S177.bam,Winter Harbor,Historic,./bam_bais/ngm_dtas_rg_23442Pal_W8_S177.bam
./bam_bais/ngm_dtas_rg_23442Pal_W9_S178.bam,Winter Harbor,Historic,./bam_bais/ngm_dtas_rg_23442Pal_W9_S178.bam
ngm_dtas_rg_24145Pal_AP13_S19.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP13_S19.bam
ngm_dtas_rg_24145Pal_AP15_S20.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP15_S20.bam
ngm_dtas_rg_24145Pal_AP19_S21.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP19_S21.bam
ngm_dtas_rg_24145Pal_AP23_S22.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP23_S22.bam
ngm_dtas_rg_24145Pal_AP24_S23.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP24_S23.bam
ngm_dtas_rg_24145Pal_AP2_S14.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP2_S14.bam
ngm_dtas_rg_24145Pal_AP3_S15.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP3_S15.bam
ngm_dtas_rg_24145Pal_AP4_S16.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP4_S16.bam
ngm_dtas_rg_24145Pal_AP5_S17.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP5_S17.bam
ngm_dtas_rg_24145Pal_AP9_S18.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP9_S18.bam
ngm_dtas_rg_24145Pal_B12_S7.bam,Bamfield,New,ngm_dtas_rg_24145Pal_B12_S7.bam
ngm_dtas_rg_24145Pal_B19_S8.bam,Bamfield,New,ngm_dtas_rg_24145Pal_B19_S8.bam
ngm_dtas_rg_24145Pal_B2_S6.bam,Bamfield,New,ngm_dtas_rg_24145Pal_B2_S6.bam
ngm_dtas_rg_24145Pal_Ba10_S56.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba10_S56.bam
ngm_dtas_rg_24145Pal_Ba11_S57.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba11_S57.bam
ngm_dtas_rg_24145Pal_Ba13_S58.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba13_S58.bam
ngm_dtas_rg_24145Pal_Ba14_S59.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba14_S59.bam
ngm_dtas_rg_24145Pal_Ba15_S60.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba15_S60.bam
ngm_dtas_rg_24145Pal_Ba16_S61.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba16_S61.bam
ngm_dtas_rg_24145Pal_Ba17_S62.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba17_S62.bam
ngm_dtas_rg_24145Pal_Ba18_S63.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba18_S63.bam
ngm_dtas_rg_24145Pal_Ba19_S64.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba19_S64.bam
ngm_dtas_rg_24145Pal_Ba21_S65.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba21_S65.bam
ngm_dtas_rg_24145Pal_Ba23_S66.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba23_S66.bam
ngm_dtas_rg_24145Pal_Ba3_S52.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba3_S52.bam
ngm_dtas_rg_24145Pal_Ba7_S53.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba7_S53.bam
ngm_dtas_rg_24145Pal_Ba8_S54.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba8_S54.bam
ngm_dtas_rg_24145Pal_Ba9_S55.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba9_S55.bam
ngm_dtas_rg_24145Pal_D2_S10.bam,San Diego,Historic,ngm_dtas_rg_24145Pal_D2_S10.bam
ngm_dtas_rg_24145Pal_D3_S11.bam,San Diego,Historic,ngm_dtas_rg_24145Pal_D3_S11.bam
ngm_dtas_rg_24145Pal_D4_S12.bam,San Diego,Historic,ngm_dtas_rg_24145Pal_D4_S12.bam
ngm_dtas_rg_24145Pal_D5_S13.bam,San Diego,Historic,ngm_dtas_rg_24145Pal_D5_S13.bam
ngm_dtas_rg_24145Pal_S10_S25.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S10_S25.bam
ngm_dtas_rg_24145Pal_S11_S26.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S11_S26.bam
ngm_dtas_rg_24145Pal_S12_S27.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S12_S27.bam
ngm_dtas_rg_24145Pal_S13_S28.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S13_S28.bam
ngm_dtas_rg_24145Pal_S14_S29.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S14_S29.bam
ngm_dtas_rg_24145Pal_S15_S30.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S15_S30.bam
ngm_dtas_rg_24145Pal_S16_S31.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S16_S31.bam
ngm_dtas_rg_24145Pal_S17_S32.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S17_S32.bam
ngm_dtas_rg_24145Pal_S34_S33.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S34_S33.bam
ngm_dtas_rg_24145Pal_S7_S24.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S7_S24.bam
ngm_dtas_rg_24145Pal_SB-10_S5.bam,Santa Barbara,New,ngm_dtas_rg_24145Pal_SB-10_S5.bam
ngm_dtas_rg_24145Pal_SB-2_S1.bam,Santa Barbara,New,ngm_dtas_rg_24145Pal_SB-2_S1.bam
ngm_dtas_rg_24145Pal_SB-5_S2.bam,Santa Barbara,New,ngm_dtas_rg_24145Pal_SB-5_S2.bam
ngm_dtas_rg_24145Pal_SB-6_S3.bam,Santa Barbara,New,ngm_dtas_rg_24145Pal_SB-6_S3.bam
ngm_dtas_rg_24145Pal_SB-8_S4.bam,Santa Barbara,New,ngm_dtas_rg_24145Pal_SB-8_S4.bam
ngm_dtas_rg_24145Pal_SD10_S41.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD10_S41.bam
ngm_dtas_rg_24145Pal_SD1_S34.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD1_S34.bam
ngm_dtas_rg_24145Pal_SD2_S35.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD2_S35.bam
ngm_dtas_rg_24145Pal_SD3_S36.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD3_S36.bam
ngm_dtas_rg_24145Pal_SD5_S37.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD5_S37.bam
ngm_dtas_rg_24145Pal_SD7_S38.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD7_S38.bam
ngm_dtas_rg_24145Pal_SD8_S39.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD8_S39.bam
ngm_dtas_rg_24145Pal_SD9_S40.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD9_S40.bam